Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1940/06/18,1940,06,18,BRO194006180,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bick Campbell,Bill Klem,(none),Lee Ballanfant,,,Bick Campbell;Bill Klem;Lee Ballanfant,,
1940/06/19,1940,06,19,BRO194006190,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Bill Klem,Lee Ballanfant,(none),Bick Campbell,,,Bill Klem;Lee Ballanfant;Bick Campbell,Mickey Owen ejected by Bick Campbell,
1940/06/21,1940,06,21,BRO194006210,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Lou Jorda,Ziggy Sears,(none),Tom Dunn,,,Lou Jorda;Ziggy Sears;Tom Dunn,,
1940/06/22,1940,06,22,BRO194006220,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Ziggy Sears,Tom Dunn,(none),Lou Jorda,,,Ziggy Sears;Tom Dunn;Lou Jorda,,
1940/06/23,1940,06,23,BRO194006231,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Tom Dunn,Lou Jorda,(none),Ziggy Sears,,,Tom Dunn;Lou Jorda;Ziggy Sears,,
1940/06/23,1940,06,23,BRO194006232,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Lou Jorda,Ziggy Sears,(none),Tom Dunn,,,Lou Jorda;Ziggy Sears;Tom Dunn,Frankie Frisch ejected by Ziggy Sears;Lee Handley ejected by Ziggy Sears;Mike Kelly ejected by Ziggy Sears,
1940/06/25,1940,06,25,BRO194006250,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Stewart,George Barr,(none),George Magerkurth,,,Bill Stewart;George Barr;George Magerkurth,,
1940/06/27,1940,06,27,BRO194006270,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,George Barr,George Magerkurth,(none),Bill Stewart,,,George Barr;George Magerkurth;Bill Stewart,,
1940/06/28,1940,06,28,BRO194006280,Boston Braves,Brooklyn Dodgers,Ebbets Field,Beans Reardon,Larry Goetz,(none),Babe Pinelli,,,Beans Reardon;Larry Goetz;Babe Pinelli,,
1940/06/29,1940,06,29,BRO194006290,Boston Braves,Brooklyn Dodgers,Ebbets Field,Larry Goetz,Babe Pinelli,(none),Beans Reardon,,,Larry Goetz;Babe Pinelli;Beans Reardon,,
1940/06/30,1940,06,30,BRO194006301,Boston Braves,Brooklyn Dodgers,Ebbets Field,Babe Pinelli,Beans Reardon,(none),Larry Goetz,,,Babe Pinelli;Beans Reardon;Larry Goetz,,
1940/06/30,1940,06,30,BRO194006302,Boston Braves,Brooklyn Dodgers,Ebbets Field,Beans Reardon,Larry Goetz,(none),Babe Pinelli,,,Beans Reardon;Larry Goetz;Babe Pinelli,Eddie Miller ejected by Babe Pinelli,
1940/07/23,1940,07,23,BRO194007231,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bick Campbell,Bill Klem,(none),Lee Ballanfant,,,Bick Campbell;Bill Klem;Lee Ballanfant,Pete Coscarart ejected by Bick Campbell;Lonny Frey ejected by Bick Campbell,
1940/07/23,1940,07,23,BRO194007232,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Bill Klem,Lee Ballanfant,(none),Bick Campbell,,,Bill Klem;Lee Ballanfant;Bick Campbell,,
1940/07/24,1940,07,24,BRO194007240,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Lee Ballanfant,Bick Campbell,(none),Bill Klem,,,Lee Ballanfant;Bick Campbell;Bill Klem,,
1940/07/26,1940,07,26,BRO194007260,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Beans Reardon,Larry Goetz,(none),Babe Pinelli,,,Beans Reardon;Larry Goetz;Babe Pinelli,,
1940/07/27,1940,07,27,BRO194007271,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Larry Goetz,Babe Pinelli,(none),Beans Reardon,,,Larry Goetz;Babe Pinelli;Beans Reardon,,
1940/07/27,1940,07,27,BRO194007272,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Babe Pinelli,Beans Reardon,(none),Larry Goetz,,,Babe Pinelli;Beans Reardon;Larry Goetz,,
1940/07/28,1940,07,28,BRO194007281,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Beans Reardon,Larry Goetz,(none),Babe Pinelli,,,Beans Reardon;Larry Goetz;Babe Pinelli,,
1940/07/28,1940,07,28,BRO194007282,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Larry Goetz,Babe Pinelli,(none),Beans Reardon,,,Larry Goetz;Babe Pinelli;Beans Reardon,,
1940/07/29,1940,07,29,BRO194007290,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Lou Jorda,Ziggy Sears,(none),Tom Dunn,,,Lou Jorda;Ziggy Sears;Tom Dunn,Frankie Frisch ejected by Tom Dunn;Babe Phelps ejected by Lou Jorda;Arky Vaughan ejected by Lou Jorda,
1940/07/30,1940,07,30,BRO194007300,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Ziggy Sears,Tom Dunn,(none),Lou Jorda,,,Ziggy Sears;Tom Dunn;Lou Jorda,Leo Durocher ejected by Ziggy Sears,
1940/08/01,1940,08,01,BRO194008011,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Tom Dunn,Lou Jorda,(none),Ziggy Sears,,,Tom Dunn;Lou Jorda;Ziggy Sears,,
1940/08/01,1940,08,01,BRO194008012,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,Lou Jorda,Ziggy Sears,(none),Tom Dunn,,,Lou Jorda;Ziggy Sears;Tom Dunn,,
1940/08/02,1940,08,02,BRO194008020,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,George Barr,George Magerkurth,(none),Bill Stewart,,,George Barr;George Magerkurth;Bill Stewart,,
1940/08/03,1940,08,03,BRO194008030,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,George Magerkurth,Bill Stewart,(none),George Barr,,,George Magerkurth;Bill Stewart;George Barr,,
1940/08/04,1940,08,04,BRO194008041,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Bill Stewart,George Barr,(none),George Magerkurth,,,Bill Stewart;George Barr;George Magerkurth,,
1940/08/04,1940,08,04,BRO194008042,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,George Barr,George Magerkurth,(none),Bill Stewart,,,George Barr;George Magerkurth;Bill Stewart,,
1940/08/05,1940,08,05,BRO194008050,New York Giants,Brooklyn Dodgers,Ebbets Field,Lou Jorda,Ziggy Sears,(none),Tom Dunn,,,Lou Jorda;Ziggy Sears;Tom Dunn,,
